,Unnamed: 0,Gene,variance,SD
2400,2400,CCDC159,0.038764676,0.196887471
2402,2402,CCDC162P,0.035442824,0.188262646
2419,2419,CCDC180,0.036241094,0.190370938
2430,2430,CCDC28A,0.035161556,0.187514149
2436,2436,CCDC38,0.034173567,0.184860941
2438,2438,CCDC40,0.039368049,0.198413833
2448,2448,CCDC60,0.039875298,0.199688001
2451,2451,CCDC63,0.037672569,0.194094228
2456,2456,CCDC7,0.037659023,0.194059328
2468,2468,CCDC82,0.03628231,0.190479159
2472,2472,CCDC85C,0.03256346,0.180453486
2476,2476,CCDC88B,0.035369951,0.188069005
2479,2479,CCDC9,0.032696713,0.180822326
2483,2483,CCDC93,0.039929772,0.199824353
2488,2488,CCHCR1,0.035036303,0.187179868
2489,2489,CCIN,0.035257824,0.187770669
2491,2491,CCKAR,0.039083751,0.197696108
2497,2497,CCL15,0.033655111,0.183453295
2507,2507,CCL23,0.033430792,0.182840892
2513,2513,CCL3,0.03918019,0.197939865
2522,2522,CCM2,0.037276296,0.193070701
2529,2529,CCNB3,0.038966297,0.197398828
2554,2554,CCNYL2,0.033311498,0.182514379
2557,2557,CCR1,0.036431764,0.190871068
2563,2563,CCR6,0.034935427,0.18691021
2565,2565,CCR8,0.033177033,0.182145637
2567,2567,CCRL2,0.036847111,0.191956013
2568,2568,CCS,0.034389417,0.185443839
2573,2573,CCT3,0.034790098,0.186521039
2585,2585,CD101,0.035091677,0.187327726
2587,2587,CD14,0.033765987,0.183755238
2590,2590,CD163,0.03267574,0.180764322
2600,2600,CD1D,0.038687271,0.196690801
2605,2605,CD200R1L,0.03797835,0.194880349
2607,2607,CD209,0.037243313,0.192985267
2608,2608,CD22,0.034069816,0.184580109
2612,2612,CD247,0.03860445,0.196480151
2625,2625,CD300LD,0.037273292,0.193062921
2636,2636,CD3E,0.03428499,0.185162063
2644,2644,CD48,0.036923631,0.192155227
2647,2647,CD53,0.037707677,0.194184647
2654,2654,CD68,0.035360672,0.188044335
2659,2659,CD74,0.033544929,0.183152749
2664,2664,CD81-AS1,0.033319914,0.18253743
2674,2674,CD99,0.034528379,0.185818135
2675,2675,CD99L2,0.036182354,0.190216598
2677,2677,CDA,0.035674136,0.188875981
2678,2678,CDADC1,0.037583152,0.193863746
2695,2695,CDC37L1,0.033810056,0.183875109
2696,2696,CDC40,0.034316778,0.185247882
2701,2701,CDC42EP1,0.0364738,0.190981151
2706,2706,CDC42P3,0.037676634,0.194104697
2708,2708,CDC42SE2,0.038009449,0.194960121
2715,2715,CDCA3,0.037075205,0.192549229
2726,2726,CDH12,0.038538129,0.196311305
2734,2734,CDH20,0.037561224,0.193807182
2736,2736,CDH23,0.034454033,0.185617977
2737,2737,CDH24,0.037474685,0.193583793
2740,2740,CDH4,0.03953294,0.198828922
2745,2745,CDH9,0.03555745,0.18856683
2757,2757,CDK12,0.039990975,0.199977435
2760,2760,CDK15,0.035128257,0.187425336
2761,2761,CDK16,0.038848938,0.197101339
2770,2770,CDK4,0.034849355,0.186679819
2775,2775,CDK5RAP2,0.038698853,0.196720239
2786,2786,CDKL5,0.038509833,0.196239224
2791,2791,CDKN2AIP,0.033946502,0.184245765
2797,2797,CDKN3,0.036993611,0.192337232
2801,2801,CDPF1,0.03716411,0.192779953
2814,2814,CDS2,0.037745665,0.194282436
2832,2832,CEACAM21,0.037853339,0.194559347
2835,2835,CEACAM4,0.037056506,0.192500664
2852,2852,CELA2A,0.037565495,0.193818202
2853,2853,CELA2B,0.034254406,0.185079459
2855,2855,CELA3B,0.033033021,0.181749887
2856,2856,CELF1,0.034916642,0.186859954
2860,2860,CELF4,0.034114509,0.184701134
2867,2867,CEMIP,0.032997508,0.181652163
2874,2874,CENPC,0.037821755,0.194478162
2885,2885,CENPP,0.038694669,0.196709606
2887,2887,CENPT,0.037078423,0.192557583
2889,2889,CENPV,0.033201197,0.182211956
2909,2909,CEP44,0.03900999,0.197509467
2911,2911,CEP57,0.038529535,0.196289417
2923,2923,CEP95,0.032557143,0.18043598
2928,2928,CERK,0.037862893,0.194583897
2931,2931,CERS2,0.03649731,0.191042692
2935,2935,CERS6,0.035637084,0.18877787
2943,2943,CES5A,0.039610044,0.199022723
2950,2950,CFB,0.034026108,0.18446167
2954,2954,CFDP1,0.038393781,0.195943309
2957,2957,CFHR2,0.036944709,0.192210064
2958,2958,CFHR3,0.039096082,0.197727291
2961,2961,CFI,0.037094418,0.192599111
2962,2962,CFL1,0.037667549,0.194081294
2976,2976,CGN,0.034923002,0.18687697
2980,2980,CH25H,0.035095475,0.187337864
2989,2989,CHCHD1,0.034613658,0.186047462
2994,2994,CHCHD5,0.039602517,0.19900381
3000,3000,CHD3,0.033971483,0.184313545
3014,3014,CHGB,0.037763017,0.194327086
3015,3015,CHI3L1,0.038180693,0.195398806
3027,3027,CHL1-AS1,0.038349625,0.195830603
3028,3028,CHM,0.034126936,0.184734772
3033,3033,CHMP2A,0.037765035,0.194332279
3037,3037,CHMP4B,0.037081223,0.192564853
3041,3041,CHMP7,0.03462944,0.186089872
3043,3043,CHN2,0.034212192,0.184965381
3047,3047,CHP1,0.033711558,0.183607075
3056,3056,CHRFAM7A,0.033012798,0.181694242
3072,3072,CHRNA9,0.038923613,0.19729068
3087,3087,CHST2,0.039488774,0.198717825
