,Unnamed: 0,Gene,variance,SD
3008,3008,CHEK1,0.09489637,0.308052544
3020,3020,CHIC2,0.185244368,0.430400241
3021,3021,CHID1,0.12113644,0.348046606
3026,3026,CHL1,0.150375315,0.387782562
3031,3031,CHMP1B,0.107604707,0.328031565
3032,3032,CHMP1B2P,0.106042943,0.325642354
3036,3036,CHMP4A,0.122413387,0.349876245
3040,3040,CHMP6,0.140302221,0.37456938
3061,3061,CHRM3-AS2,0.104917262,0.323909343
3079,3079,CHRNG,0.151183018,0.388822604
3080,3080,CHST1,0.137261099,0.370487651
3082,3082,CHST11,0.092928215,0.304841294
3089,3089,CHST4,0.094049942,0.30667563
3090,3090,CHST5,0.114893108,0.338958858
3091,3091,CHST6,0.116086027,0.340713996
3126,3126,CISTR,0.102529951,0.320202985
3127,3127,CIT,0.169945592,0.412244578
3141,3141,CKMT1B,0.107368748,0.327671708
3148,3148,CLASRP,0.126486329,0.355649166
3151,3151,CLCA2,0.088034304,0.296705753
3165,3165,CLDN1,0.147929143,0.384615579
3172,3172,CLDN16,0.166032584,0.407470961
3173,3173,CLDN17,0.089986439,0.299977397
3192,3192,CLEC11A,0.170399103,0.412794262
3199,3199,CLEC18B,0.098699073,0.314164086
3200,3200,CLEC18C,0.110371071,0.332221418
3224,3224,CLHC1,0.207682504,0.455721959
3237,3237,CLK1,0.12363728,0.351620932
3244,3244,CLN3,0.14720289,0.383670289
3245,3245,CLN5,0.103099966,0.321091834
3256,3256,CLPSL2,0.097544007,0.312320359
3262,3262,CLRN2,0.087856565,0.296406081
3270,3270,CLTB,0.116332834,0.341075994
3272,3272,CLTCL1,0.10349333,0.321703792
3282,3282,CLYBL-AS2,0.093229522,0.305335098
3286,3286,CMBL,0.132369673,0.363826432
3291,3291,CMKLR1,0.159425045,0.39928066
3303,3303,CMTR1,0.100683251,0.317306242
3319,3319,CNIH1,0.140896528,0.375361863
3347,3347,CNPY3,0.096740584,0.311031484
3367,3367,CNTNAP3,0.109834864,0.331413434
3368,3368,CNTNAP3B,0.148295166,0.385091114
3384,3384,COG1,0.132851405,0.364487867
3402,3402,COL18A1,0.183820698,0.428743161
3403,3403,COL18A1-AS1,0.184248501,0.429241775
3433,3433,COL6A4P2,0.15619967,0.395221039
3496,3496,CORO6,0.093309088,0.305465363
3498,3498,CORO7-PAM16,0.155901444,0.394843569
3502,3502,COX10-AS1,0.123540554,0.351483362
3532,3532,CPA4,0.204006607,0.451670906
3560,3560,CPNE8,0.146289087,0.382477565
3562,3562,CPO,0.132244771,0.363654742
3575,3575,CPT1A,0.085321646,0.292098692
3577,3577,CPT1C,0.166420714,0.407946949
3579,3579,CPVL,0.098712102,0.314184822
3605,3605,CREBL2,0.180378877,0.424710344
3615,3615,CRHR1,0.109734695,0.331262275
3622,3622,CRISP1,0.151178069,0.388816241
3627,3627,CRK,0.087506036,0.295814191
3640,3640,CROT,0.122982839,0.350689091
3641,3641,CRP,0.179683669,0.423891105
3644,3644,CRTAM,0.12967473,0.360103777
3647,3647,CRTC2,0.130892149,0.3617902
3648,3648,CRTC3,0.202110661,0.449567193
3651,3651,CRY2,0.109564249,0.331004908
3666,3666,CRYGN,0.160678604,0.400847358
3681,3681,CSF1,0.159748946,0.39968606
3685,3685,CSF2RB,0.093832954,0.306321651
3686,3686,CSF3,0.108153212,0.328866557
3698,3698,CSN1S1,0.085529054,0.292453507
3708,3708,CSNK1G1,0.089064196,0.298436252
3718,3718,CSPG5,0.092502324,0.304141947
3731,3731,CST4,0.182265858,0.426926057
3743,3743,CSTF3,0.196493771,0.443276179
3752,3752,CT47A11,0.090476513,0.300793139
3780,3780,CTBP1-AS,0.088598295,0.297654657
3788,3788,CTD-2350J17.1,0.102046211,0.319446726
3794,3794,CTDSPL,0.144542955,0.380188052
3801,3801,CTNNA1,0.1263908,0.355514838
3802,3802,CTNNA2,0.097487631,0.312230093
3836,3836,CTTN,0.119595325,0.345825571
3840,3840,CTU2,0.135420775,0.367995618
3846,3846,CUEDC2,0.19133724,0.437421124
3850,3850,CUL4A,0.131708255,0.36291632
3865,3865,CWF19L2,0.098787523,0.314304825
3866,3866,CWH43,0.103643833,0.321937623
3874,3874,CXCL11,0.135495925,0.368097711
3902,3902,CXorf58,0.239734451,0.489626849
3905,3905,CYB561,0.177711226,0.421558093
3924,3924,CYFIP1,0.087197946,0.295292984
3925,3925,CYFIP2,0.140400215,0.374700167
3927,3927,CYHR1,0.137614698,0.370964551
3933,3933,CYP11B1,0.143659453,0.379024343
3937,3937,CYP1A1,0.097078743,0.311574619
3940,3940,CYP1B1-AS1,0.14362794,0.378982771
3950,3950,CYP27C1,0.178522607,0.422519357
3958,3958,CYP2C8,0.135006858,0.367432793
3972,3972,CYP3A5,0.096672439,0.310921918
4000,4000,CYTH1,0.134979607,0.367395709
4001,4001,CYTH2,0.104549932,0.323341819
4002,4002,CYTH3,0.154062547,0.392508021
4012,4012,DAB1-AS1,0.143549565,0.378879354
4017,4017,DACT1,0.130843585,0.361723078
4023,4023,DAGLA,0.128728974,0.358788201
4025,4025,DALRD3,0.100559967,0.317111916
4029,4029,DAOA,0.098401577,0.313690257
4035,4035,DAPK3,0.140015633,0.374186628
4050,4050,DBH,0.096193861,0.310151352
4055,4055,DBN1,0.136272311,0.369150797
4061,4061,DBT,0.164581673,0.405686669
4065,4065,DCAF11,0.103689944,0.32200923
4066,4066,DCAF12,0.099092332,0.314789345
4074,4074,DCAF4,0.106023113,0.325611906
4081,4081,DCAF8L1,0.167894675,0.409749527
4083,4083,DCAKD,0.107510589,0.327888075
4093,4093,DCHS2,0.205184373,0.452972817
4094,4094,DCK,0.156370511,0.395437113
4111,4111,DCTN1,0.131606029,0.362775453
4112,4112,DCTN1-AS1,0.093898275,0.306428255
4119,4119,DCUN1D1,0.103145137,0.321162166
4127,4127,DDAH1,0.151504713,0.389236064
4135,4135,DDI2,0.130468203,0.361203825
4137,4137,DDIT4,0.109730374,0.331255753
4143,4143,DDR2,0.087823449,0.296350214
4241,4241,DEFB133,0.101203009,0.318124204
4242,4242,DEFB134,0.088575781,0.297616836
4247,4247,DEFT1P,0.105400091,0.324653802
4254,4254,DENND1C,0.127055019,0.356447779
4263,4263,DENND5B,0.09439061,0.307230549
4269,4269,DEPDC1-AS1,0.085046084,0.291626618
4278,4278,DERL3,0.157114053,0.396376151
4284,4284,DFFA,0.086850799,0.294704596
4286,4286,DGAT1,0.182794703,0.427544972
4289,4289,DGCR11,0.162964075,0.403688091
4311,4311,DHFR,0.203954836,0.451613591
4324,4324,DHRS4L2,0.133300708,0.365103694
4332,4332,DHX16,0.124761217,0.35321554
4335,4335,DHX32,0.118878742,0.344787967
4360,4360,DIO3,0.144144264,0.379663356
4365,4365,DIP2C,0.106584784,0.326473251
4376,4376,DISC2,0.085045107,0.291624943
