,Gene,variance,SD
502,AKIRIN1,0.004935608,0.070253886
503,AKIRIN2,0.015317267,0.123762945
504,AKNA,0.003835194,0.061928945
505,AKNAD1,0.006895995,0.083042129
506,AKR1A1,0.011209898,0.105876808
507,AKR1B1,0.012880033,0.113490233
508,AKR1B10,0.008403953,0.091673075
509,AKR1B15,0.003689921,0.060744722
510,AKR1C1,0.002580426,0.050797891
511,AKR1C2,0.016737886,0.129374981
512,AKR1C3,0.00772336,0.087882649
513,AKR1C4,0.004818499,0.06941541
514,AKR1C6P,0.002635466,0.051336787
515,AKR1D1,0.003588868,0.059907158
516,AKR1E2,0.023808633,0.154300463
517,AKR7A2,0.006645722,0.081521295
518,AKR7A2P1,0.005510045,0.074229678
519,AKR7A3,0.008554605,0.092491108
520,AKR7L,0.004385615,0.066223974
521,AKT1,0.04033166,0.200827439
522,AKT1S1,0.00674898,0.082152174
523,AKT2,0.006321645,0.079508776
524,AKT3,0.009543445,0.097690557
525,AKTIP,0.010704918,0.103464576
526,ALAD,0.004495873,0.067051274
527,ALAS1,0.00526033,0.072528133
528,ALAS2,0.007378973,0.085900947
529,ALB,0.003302954,0.057471333
530,ALCAM,0.005351125,0.073151382
531,ALDH16A1,0.006324563,0.079527123
532,ALDH18A1,0.00500196,0.070724539
533,ALDH1A1,0.007925914,0.089027605
534,ALDH1A2,0.00759975,0.087176543
535,ALDH1A3,0.010460356,0.102275883
536,ALDH1B1,0.006483694,0.080521391
537,ALDH1L1,0.005588318,0.074755056
538,ALDH1L1-AS1,0.009349433,0.096692465
539,ALDH1L1-AS2,0.017655489,0.132873961
540,ALDH1L2,0.007979554,0.089328352
541,ALDH2,0.003661397,0.060509483
542,ALDH3A1,0.007837208,0.088528009
543,ALDH3A2,0.004592808,0.067770258
544,ALDH3B1,0.005907758,0.076861943
545,ALDH3B2,0.003619642,0.060163462
546,ALDH4A1,0.0041612,0.064507363
547,ALDH5A1,0.009042879,0.095094055
548,ALDH6A1,0.009181523,0.095820264
549,ALDH7A1,0.003374296,0.058088691
550,ALDH8A1,0.002556089,0.050557776
551,ALDH9A1,0.009716281,0.098571198
552,ALDOA,0.006494542,0.080588718
553,ALDOB,0.009584827,0.097902129
554,ALDOC,0.008250862,0.090834258
555,ALG1,0.008041768,0.089675903
556,ALG10,0.009334238,0.09661386
557,ALG10B,0.005455632,0.07386225
558,ALG11,0.003517441,0.059308019
559,ALG12,0.004703914,0.068585085
560,ALG13,0.002546105,0.050458948
561,ALG14,0.002160843,0.046484865
562,ALG1L,0.010013077,0.100065362
563,ALG1L2,0.008484944,0.092113753
564,ALG1L9P,0.008609867,0.092789369
565,ALG2,0.00685676,0.082805555
566,ALG3,0.011876352,0.108978679
567,ALG5,0.01094992,0.104641863
568,ALG6,0.007156601,0.084596697
569,ALG8,0.00565839,0.07522227
570,ALG9,0.004907313,0.070052214
571,ALK,0.003889427,0.062365269
572,ALKBH1,0.012464756,0.111645674
573,ALKBH2,0.004976962,0.070547583
574,ALKBH3,0.00270403,0.05200029
575,ALKBH3-AS1,0.015484852,0.124438144
576,ALKBH4,0.008563766,0.092540617
577,ALKBH5,0.005825429,0.076324495
578,ALKBH6,0.003097156,0.0556521
579,ALKBH7,0.006406352,0.080039691
580,ALKBH8,0.006489047,0.080554622
581,ALLC,0.006272825,0.079201165
582,ALMS1,0.002779567,0.052721601
583,ALMS1-IT1,0.003091187,0.055598441
584,ALOX12,0.007471681,0.086438885
585,ALOX12B,0.017738585,0.13318628
586,ALOX12P2,0.004490831,0.067013663
587,ALOX15,0.002869237,0.053565261
588,ALOX15B,0.004516039,0.06720148
589,ALOX15P1,0.005630785,0.075038559
590,ALOX5,0.005795179,0.076126072
591,ALOX5AP,0.005529951,0.074363641
592,ALOXE3,0.004213781,0.064913643
593,ALPI,0.005707985,0.075551211
594,ALPK1,0.005334221,0.07303575
595,ALPK2,0.011750758,0.108400911
596,ALPK3,0.017690793,0.133006741
597,ALPL,0.003724209,0.061026297
598,ALPP,0.00438585,0.066225749
599,ALS2,0.013408042,0.115793099
600,ALS2CL,0.006922736,0.083202978
601,ALX1,0.003744945,0.061195954
602,ALX3,0.004071926,0.063811647
603,ALX4,0.005829003,0.076347905
604,ALYREF,0.006453646,0.080334591
605,AMACR,0.003124137,0.055893979
606,AMBN,0.010267278,0.101327576
607,AMBP,0.008334389,0.091292875
608,AMBRA1,0.003543162,0.059524464
609,AMD1,0.003396984,0.058283655
610,AMDHD1,0.003706846,0.060883872
611,AMDHD2,0.026344933,0.162311223
612,AMELX,0.017599575,0.132663389
613,AMELY,0.00908022,0.095290189
614,AMER1,0.004431217,0.066567389
615,AMER2,0.007578744,0.087055982
616,AMER3,0.00364361,0.060362322
617,AMFR,0.003910061,0.06253048
618,AMH,0.00584172,0.076431144
619,AMHR2,0.010011205,0.10005601
620,AMIGO1,0.00284786,0.053365347
621,AMIGO2,0.00347732,0.058968801
622,AMIGO3,0.004527181,0.067284327
623,AMMECR1,0.003828313,0.061873366
624,AMMECR1L,0.00457575,0.067644294
625,AMN,0.004443227,0.066657537
626,AMN1,0.0042754,0.065386545
627,AMOT,0.007139636,0.084496368
628,AMOTL1,0.005273811,0.072621009
629,AMOTL2,0.003894867,0.062408872
630,AMPD1,0.002756141,0.052498961
631,AMPD2,0.002044749,0.045218896
632,AMPD3,0.016815702,0.12967537
633,AMPH,0.002702633,0.051986858
634,AMT,0.006444948,0.080280435
635,AMTN,0.007195986,0.084829157
636,AMY1A,0.012463691,0.1116409
637,AMY1B,0.011647903,0.107925449
638,AMY1C,0.007168167,0.08466503
639,AMY2A,0.053690034,0.231711101
640,AMY2B,0.003728042,0.061057692
641,AMZ1,0.039398719,0.198491105
642,AMZ2,0.013162799,0.114729241
643,AMZ2P1,0.004435076,0.066596365
644,ANAPC1,0.017323427,0.131618492
645,ANAPC10,0.003844653,0.062005268
646,ANAPC11,0.009152775,0.095670137
647,ANAPC13,0.012720176,0.112783759
648,ANAPC15,0.00551602,0.074269916
649,ANAPC16,0.014544049,0.12059871
650,ANAPC1P1,0.005737758,0.075747988
651,ANAPC2,0.006091226,0.078046309
652,ANAPC4,0.018042706,0.134323142
653,ANAPC5,0.007019732,0.083783843
654,ANAPC7,0.002097977,0.045803679
655,ANG,0.003440496,0.058655739
656,ANGEL1,0.011496178,0.107220233
657,ANGEL2,0.003398237,0.058294402
658,ANGPT1,0.00770467,0.087776251
659,ANGPT2,0.003479376,0.058986236
660,ANGPT4,0.013727123,0.117162806
661,ANGPTL1,0.008355857,0.091410375
662,ANGPTL2,0.003893259,0.062395987
663,ANGPTL3,0.003214984,0.056700829
664,ANGPTL4,0.002353449,0.048512363
665,ANGPTL5,0.005632425,0.075049483
666,ANGPTL6,0.006540056,0.080870613
667,ANGPTL7,0.006999802,0.083664817
668,ANHX,0.026189775,0.161832553
669,ANK1,0.003118655,0.055844916
670,ANK2,0.002404611,0.049036835
671,ANK3,0.002429667,0.049291654
672,ANKAR,0.004061176,0.06372736
673,ANKDD1A,0.005201344,0.072120345
674,ANKDD1B,0.003881953,0.062305322
675,ANKEF1,0.00376865,0.061389328
676,ANKFN1,0.002472376,0.049722993
677,ANKFY1,0.013894303,0.1178741
678,ANKH,0.003767966,0.06138376
679,ANKHD1,0.006608643,0.08129356
680,ANKHD1-EIF4EBP3,0.014396362,0.119984842
681,ANKIB1,0.128418762,0.358355636
682,ANKK1,0.021136973,0.1453856
683,ANKLE1,0.007390908,0.085970389
684,ANKLE2,0.006067138,0.077891838
685,ANKMY1,0.003494874,0.059117461
686,ANKMY2,0.003340839,0.057799994
