,Unnamed: 0,Gene,variance,SD
1091,1091,ARMCX5-GPRASP2,0.00558759,0.074750181
1095,1095,ARNT2,0.004755883,0.068962907
1096,1096,ARNTL,0.004435273,0.066597843
1097,1097,ARNTL2,0.005612598,0.074917276
1099,1099,ARPC1A,0.005396845,0.073463225
1104,1104,ARPC4-TTLL3,0.005532382,0.074379984
1107,1107,ARPP19,0.004703764,0.068583996
1109,1109,ARR3,0.004124668,0.064223575
1110,1110,ARRB1,0.003283322,0.057300275
1111,1111,ARRB2,0.005541911,0.074444012
1114,1114,ARRDC3,0.005926544,0.07698405
1116,1116,ARRDC4,0.004031282,0.063492381
1118,1118,ARSA,0.005200711,0.072115952
1119,1119,ARSB,0.005664729,0.075264394
1122,1122,ARSG,0.006359969,0.079749413
1123,1123,ARSH,0.004594866,0.067785441
1124,1124,ARSI,0.005011281,0.070790399
1126,1126,ARSK,0.005759774,0.075893176
1128,1128,ART3,0.005613987,0.074926544
1129,1129,ART4,0.00493084,0.070219941
1131,1131,ARTN,0.00345359,0.058767255
1133,1133,ARVCF,0.00533121,0.073015136
1134,1134,ARX,0.005324657,0.07297025
1135,1135,AS3MT,0.0049974,0.070692291
1138,1138,ASAH2B,0.003351675,0.05789365
1141,1141,ASAP1-IT2,0.005583789,0.074724756
1143,1143,ASAP3,0.004654729,0.068225573
1144,1144,ASB1,0.003917055,0.062586381
1147,1147,ASB12,0.004296958,0.065551183
1148,1148,ASB13,0.004303938,0.065604407
1151,1151,ASB16,0.003278119,0.057254863
1152,1152,ASB16-AS1,0.003240289,0.056923541
1153,1153,ASB17,0.006250651,0.079061058
1154,1154,ASB18,0.003893672,0.062399297
1155,1155,ASB2,0.003909992,0.062529929
1156,1156,ASB3,0.004910873,0.070077619
1159,1159,ASB6,0.004179899,0.064652136
1161,1161,ASB8,0.006165846,0.078522902
1162,1162,ASB9,0.00293711,0.054195112
1165,1165,ASCC2,0.003911068,0.062538532
1168,1168,ASCL2,0.003864483,0.062164964
1169,1169,ASCL3,0.003316191,0.057586382
1172,1172,ASF1A,0.006442169,0.080263125
1174,1174,ASGR1,0.005403988,0.073511824
1178,1178,ASH2L,0.005770838,0.075966034
1181,1181,ASIC3,0.004003483,0.063273083
1182,1182,ASIC4,0.006246272,0.07903336
1183,1183,ASIC5,0.003700103,0.060828473
1184,1184,ASIP,0.004061753,0.063731886
1189,1189,ASNS,0.005433244,0.073710544
1191,1191,ASPA,0.003655862,0.060463724
1192,1192,ASPDH,0.003696718,0.060800643
1193,1193,ASPG,0.005631383,0.075042539
1195,1195,ASPHD1,0.004660754,0.068269718
1196,1196,ASPHD2,0.00651271,0.080701364
1200,1200,ASPSCR1,0.004322975,0.065749337
1204,1204,ASTL,0.006038553,0.077708128
1205,1205,ASTN1,0.0032586,0.057084152
1206,1206,ASTN2,0.005274706,0.072627171
1208,1208,ASXL2,0.00581874,0.076280663
1209,1209,ASXL3,0.005204101,0.072139459
1215,1215,ATAD3B,0.004365526,0.066072129
1217,1217,ATAD5,0.005223932,0.072276777
1219,1219,ATCAY,0.003505843,0.059210163
