,Gene,variance,SD
5771,FER1L4,0.019782597,0.14065062
5772,FER1L5,0.030516881,0.174690815
5773,FER1L6,0.032148757,0.179300745
5774,FER1L6-AS1,0.042871051,0.207053258
5775,FER1L6-AS2,0.040883412,0.202196468
5776,FERD3L,0.048511419,0.220253079
5777,FERMT1,0.031770639,0.178243203
5778,FERMT2,0.09220939,0.303659991
5779,FERMT3,0.015002481,0.122484616
5780,FES,0.026283592,0.162122153
5781,FETUB,0.020145531,0.141934953
5782,FEV,0.046898125,0.21655975
5783,FEZ1,0.046462683,0.215552043
5784,FEZ2,0.046414443,0.215440116
5785,FEZF1,0.027543087,0.1659611
5786,FEZF1-AS1,0.029742497,0.172460133
5787,FEZF2,0.038610958,0.196496713
5788,FFAR1,0.152252048,0.390194884
5789,FFAR2,0.060971755,0.246924593
5790,FFAR3,0.047050053,0.216910243
5791,FFAR4,0.038435706,0.196050265
5792,FGA,0.031624884,0.177833866
5793,FGB,0.017764768,0.133284537
5794,FGD1,0.03773371,0.194251666
5795,FGD2,0.009142565,0.095616763
5796,FGD3,0.018635943,0.136513526
5797,FGD4,0.060570311,0.246110363
5798,FGD5,0.0536551,0.231635706
5799,FGD5-AS1,0.011514197,0.107304226
5800,FGD5P1,0.037971402,0.19486252
5801,FGD6,0.022893838,0.1513071
5802,FGF1,0.028411521,0.168557174
5803,FGF10,0.06496909,0.25489035
5804,FGF10-AS1,0.021104645,0.145274378
5805,FGF11,0.020723717,0.143957345
5806,FGF12,0.065286803,0.255512824
5807,FGF13,0.068621886,0.261957795
5808,FGF13-AS1,0.070173786,0.264903352
5809,FGF14,0.064126859,0.253232817
5810,FGF14-AS2,0.079199384,0.281423851
5811,FGF14-IT1,0.064923185,0.254800284
5812,FGF16,0.027169529,0.164831821
5813,FGF17,0.157354652,0.396679533
5814,FGF18,0.146098985,0.382228969
5815,FGF19,0.049846496,0.223263288
5816,FGF2,0.013140071,0.11463015
5817,FGF20,0.026819313,0.163766032
5818,FGF21,0.035420901,0.188204413
5819,FGF22,0.040526591,0.201312173
5820,FGF23,0.047319626,0.217530748
5821,FGF3,0.092442075,0.304042884
5822,FGF4,0.015471767,0.124385558
5823,FGF5,0.061624435,0.248242694
5824,FGF6,0.068487774,0.261701689
5825,FGF7,0.024943419,0.157934857
5826,FGF8,0.051910277,0.227838269
5827,FGF9,0.137385042,0.370654882
5828,FGFBP1,0.061699141,0.248393118
5829,FGFBP2,0.05426576,0.232950124
5830,FGFBP3,0.068509027,0.26174229
5831,FGFR1,0.028154412,0.167792764
5832,FGFR1OP2,0.034234424,0.185025468
5833,FGFR2,0.049437568,0.222345604
5834,FGFR3,0.038639698,0.196569831
5835,FGFR4,0.039841698,0.199603852
5836,FGFRL1,0.022269611,0.14923006
5837,FGG,0.021429609,0.146388554
5838,FGGY,0.036573985,0.191243262
5839,FGL1,0.033842475,0.183963243
5840,FGL2,0.049100521,0.221586373
5841,FGR,0.075724438,0.275180737
5842,FH,0.045145624,0.212474996
5843,FHAD1,0.061241316,0.247469829
5844,FHDC1,0.074797611,0.27349152
5845,FHIT,0.055044703,0.234616075
5846,FHL1,0.045192357,0.212584941
5847,FHL2,0.012713627,0.112754722
5848,FHL3,0.02913383,0.17068635
