,Unnamed: 0,Gene,variance,SD
221,221,ACTN2,0.025265045,0.158949818
222,222,ACTN3,0.032959702,0.181548072
223,223,ACTN4,0.015656038,0.12512409
224,224,ACTR10,0.056947392,0.238636527
225,225,ACTR1A,0.020329128,0.142580251
226,226,ACTR1B,0.017607891,0.13269473
228,228,ACTR3,0.017665659,0.132912224
229,229,ACTR3B,0.033764746,0.183751859
230,230,ACTR3BP2,0.023989675,0.154886007
231,231,ACTR3BP5,0.036288634,0.190495758
232,232,ACTR3C,0.030355644,0.174228712
236,236,ACTRT1,0.052144267,0.228351192
237,237,ACTRT2,0.029036626,0.170401368
238,238,ACTRT3,0.027854815,0.166897617
239,239,ACVR1,0.049464869,0.222406989
240,240,ACVR1B,0.029940453,0.173033098
241,241,ACVR1C,0.049354217,0.22215809
242,242,ACVR2A,0.032275445,0.179653682
243,243,ACVR2B,0.045952509,0.214365362
244,244,ACVR2B-AS1,0.026745957,0.163541912
246,246,ACY1,0.021993984,0.148303689
247,247,ACY3,0.01801928,0.134235912
248,248,ACYP1,0.047574127,0.21811494
249,249,ACYP2,0.039672377,0.199179258
251,251,ADAD1,0.037923458,0.194739462
252,252,ADAD2,0.046121691,0.214759612
253,253,ADAL,0.025830848,0.160719782
254,254,ADAM10,0.015539459,0.124657365
255,255,ADAM11,0.055629417,0.235858893
256,256,ADAM12,0.062595915,0.250191756
257,257,ADAM15,0.034539751,0.185848732
259,259,ADAM18,0.025022627,0.158185419
261,261,ADAM2,0.0766036,0.276773554
262,262,ADAM20,0.054471932,0.233392227
263,263,ADAM20P1,0.048665327,0.220602193
264,264,ADAM21,0.026052896,0.161409095
265,265,ADAM21P1,0.041286828,0.203191604
266,266,ADAM22,0.040501308,0.201249368
267,267,ADAM23,0.034667095,0.186191017
269,269,ADAM29,0.03121255,0.176670738
271,271,ADAM32,0.02845261,0.168679015
272,272,ADAM33,0.048230337,0.219614064
274,274,ADAM5,0.02055231,0.143360767
275,275,ADAM6,0.015494652,0.124477515
276,276,ADAM7,0.017026797,0.130486768
277,277,ADAM8,0.016534213,0.128585429
278,278,ADAM9,0.015243757,0.123465612
279,279,ADAMDEC1,0.03828903,0.195675829
281,281,ADAMTS10,0.017592727,0.132637577
283,283,ADAMTS13,0.038833985,0.197063403
284,284,ADAMTS14,0.043462518,0.20847666
285,285,ADAMTS15,0.016554758,0.128665293
286,286,ADAMTS16,0.047249693,0.217369946
288,288,ADAMTS18,0.029565555,0.171946371
289,289,ADAMTS19,0.01779289,0.133389992
290,290,ADAMTS2,0.027295733,0.165214203
291,291,ADAMTS20,0.034120989,0.184718674
292,292,ADAMTS3,0.035699213,0.188942353
293,293,ADAMTS4,0.032675636,0.180764035
295,295,ADAMTS6,0.025341801,0.159191082
296,296,ADAMTS7,0.050707832,0.225183996
297,297,ADAMTS7P1,0.072587658,0.269420969
299,299,ADAMTS9,0.042751079,0.206763341
300,300,ADAMTS9-AS2,0.06158145,0.248156099
301,301,ADAMTSL1,0.054340365,0.233110199
302,302,ADAMTSL2,0.041620797,0.204011757
303,303,ADAMTSL3,0.039246404,0.198107051
304,304,ADAMTSL4,0.038079142,0.195138777
308,308,ADAP2,0.022304251,0.149346078
310,310,ADARB1,0.032714142,0.180870511
311,311,ADARB2,0.057065729,0.238884342
312,312,ADARB2-AS1,0.016569944,0.128724296
313,313,ADAT1,0.040549534,0.20136915
314,314,ADAT2,0.055852278,0.236330866
316,316,ADCK1,0.044152847,0.21012579
317,317,ADCK2,0.040769801,0.201915331
318,318,ADCK5,0.039752708,0.199380811
320,320,ADCY10,0.044456999,0.210848284
321,321,ADCY10P1,0.072155296,0.268617378
322,322,ADCY2,0.030418788,0.174409829
323,323,ADCY3,0.026877721,0.163944261
324,324,ADCY4,0.015303148,0.123705895
325,325,ADCY5,0.031817062,0.178373378
326,326,ADCY6,0.055568236,0.235729157
327,327,ADCY7,0.043401134,0.208329388
329,329,ADCY9,0.050705077,0.22517788
330,330,ADCYAP1,0.055547377,0.235684911
332,332,ADD1,0.036952632,0.192230673
333,333,ADD2,0.032907064,0.181403042
334,334,ADD3,0.031358702,0.177083884
335,335,ADD3-AS1,0.059803017,0.244546555
336,336,ADGB,0.02115223,0.145438061
337,337,ADH1A,0.07408531,0.272186169
339,339,ADH1C,0.032332402,0.179812129
340,340,ADH4,0.060256423,0.245471838
343,343,ADH7,0.024941978,0.157930295
344,344,ADHFE1,0.019018363,0.137907081
345,345,ADI1,0.075751776,0.275230405
346,346,ADIG,0.037290123,0.193106507
347,347,ADIPOQ,0.045461031,0.213215926
348,348,ADIPOQ-AS1,0.035137718,0.187450575
349,349,ADIPOR1,0.064140053,0.253258866
351,351,ADIRF,0.073107865,0.27038466
352,352,ADK,0.050065296,0.223752757
353,353,ADM,0.068051613,0.260867041
